Date,Hour,Court,Home,Away,Matchday
2018/7/7,23:59,Sede KDT,HEREDEROS DE LASPADA,PINOCHO,3
2018/7/7,23:59,Sede KDT,EL PATRIARCADO,REAL PALO,3
2018/7/7,23:59,Sede KDT,SINCONDI SINCEBO FC,GANCIATASARAY,3
2018/7/7,23:59,Sede KDT,LA GALLARDETA,LA JARRA,3
2018/7/14,23:59,Sede KDT,HEREDEROS DE LASPADA,EL PATRIARCADO,4
2018/7/14,23:59,Sede KDT,SINCONDI SINCEBO FC,PINOCHO,4
2018/7/14,23:59,Sede KDT,LA GALLARDETA,REAL PALO,4
2018/7/14,23:59,Sede KDT,LA JARRA,GANCIATASARAY,4
2018/7/21,23:59,Sede KDT,HEREDEROS DE LASPADA,SINCONDI SINCEBO FC,5
2018/7/21,23:59,Sede KDT,LA GALLARDETA,EL PATRIARCADO,5
2018/7/21,23:59,Sede KDT,LA JARRA,PINOCHO,5
2018/7/21,23:59,Sede KDT,GANCIATASARAY,REAL PALO,5
2018/7/28,23:59,Sede KDT,HEREDEROS DE LASPADA,LA GALLARDETA,6
2018/7/28,23:59,Sede KDT,LA JARRA,SINCONDI SINCEBO FC,6
2018/7/28,23:59,Sede KDT,GANCIATASARAY,EL PATRIARCADO,6
2018/7/28,23:59,Sede KDT,REAL PALO,PINOCHO,6
2018/8/4,23:59,Sede KDT,HEREDEROS DE LASPADA,LA JARRA,7
2018/8/4,23:59,Sede KDT,GANCIATASARAY,LA GALLARDETA,7
2018/8/4,23:59,Sede KDT,REAL PALO,SINCONDI SINCEBO FC,7
2018/8/4,23:59,Sede KDT,PINOCHO,EL PATRIARCADO,7
