Date,Hour,Court,Home,Away,Matchday
2018/7/19,19:55,Sede Palermo,PURO DADA,AFTER EIGHT,12
2018/7/19,19:55,Sede Palermo,GASTAG,GARGAMUZA,12
2018/7/19,20:55,Sede Palermo,ELECTRODAS,DREAM TEAM,12
2018/7/19,23:59,Sede Palermo,REUS,,12
2018/7/26,20:40,Sede Palermo,GARGAMUZA,AFTER EIGHT,13
2018/7/26,20:55,Sede Palermo,PURO DADA,ELECTRODAS,13
2018/7/26,20:55,Sede Palermo,GASTAG,REUS,13
2018/7/26,23:59,Sede Palermo,DREAM TEAM,,13
2018/8/2,21:35,Sede Palermo,AFTER EIGHT,GASTAG,14
2018/8/2,20:55,Sede Palermo,REUS,ELECTRODAS,14
2018/8/2,21:35,Sede Palermo,PURO DADA,DREAM TEAM,14
2018/8/2,23:59,Sede Palermo,GARGAMUZA,,14
