Date,Hour,Court,Home,Away,Matchday
2018/7/19,20:40,Sede Palermo,LAS MUCHACHAS DEL CORONEL,NEVER PONY,5
2018/7/19,21:35,Sede Palermo,VISCA BRANCA,LA CHAMPETA FC,5
2018/7/19,21:35,Sede Palermo,REAL BERTI FC,FECHA LIBRE FC,5
2018/7/19,22:15,Sede Palermo,DEL CAMPO,C.F.S,5
2018/7/26,21:35,Sede Palermo,LAS MUCHACHAS DEL CORONEL,LA CHAMPETA FC,6
2018/7/26,19:55,Sede Palermo,NEVER PONY,FECHA LIBRE FC,6
2018/7/26,21:45,Sede Palermo,VISCA BRANCA,C.F.S,6
2018/7/26,19:55,Sede Palermo,DEL CAMPO,REAL BERTI FC,6
2018/8/2,20:55,Sede Palermo,LAS MUCHACHAS DEL CORONEL,FECHA LIBRE FC,7
2018/8/2,21:45,Sede Palermo,LA CHAMPETA FC,C.F.S,7
2018/8/2,19:55,Sede Palermo,DEL CAMPO,NEVER PONY,7
2018/8/2,20:40,Sede Palermo,REAL BERTI FC,VISCA BRANCA,7
