Date,Hour,Court,Home,Away,Matchday
2018/7/19,21:45,Sede Palermo,JOSÉ CANCHA,GAMBATE,5
2018/7/19,21:45,Sede Palermo,NESSUN DORMA,EL MATRIARCADO FC,5
2018/7/19,20:55,Sede Palermo,LAS MAGICAS,SIMALG,5
2018/7/19,20:40,Sede Palermo,KENNY FC,VAQUILLONAS,5
2018/7/26,20:40,Sede Palermo,JOSÉ CANCHA,EL MATRIARCADO FC,6
2018/7/26,21:45,Sede Palermo,GAMBATE,SIMALG,6
2018/7/26,22:15,Sede Palermo,KENNY FC,NESSUN DORMA,6
2018/7/26,21:35,Sede Palermo,VAQUILLONAS,LAS MAGICAS,6
2018/8/2,20:40,Sede Palermo,JOSÉ CANCHA,SIMALG,7
2018/8/2,19:55,Sede Palermo,KENNY FC,EL MATRIARCADO FC,7
2018/8/2,22:15,Sede Palermo,VAQUILLONAS,GAMBATE,7
2018/8/2,21:45,Sede Palermo,NESSUN DORMA,LAS MAGICAS,7
