Date,Hour,Court,Home,Away,Matchday
2018/7/7,23:59,Sede KDT,DRINK TEAM,15 DE JUNIO,3
2018/7/7,23:59,Sede KDT,SIN VUELTAS,SON SIME FC,3
2018/7/7,23:59,Sede KDT,BARCELOSA UNITED,TOKADISKO FC,3
2018/7/7,23:59,Sede KDT,LOS MURCIELAGOS,ALUMNI,3
2018/7/14,23:59,Sede KDT,DRINK TEAM,SIN VUELTAS,4
2018/7/14,23:59,Sede KDT,BARCELOSA UNITED,15 DE JUNIO,4
2018/7/14,23:59,Sede KDT,LOS MURCIELAGOS,SON SIME FC,4
2018/7/14,23:59,Sede KDT,ALUMNI,TOKADISKO FC,4
2018/7/21,23:59,Sede KDT,DRINK TEAM,BARCELOSA UNITED,5
2018/7/21,23:59,Sede KDT,LOS MURCIELAGOS,SIN VUELTAS,5
2018/7/21,23:59,Sede KDT,ALUMNI,15 DE JUNIO,5
2018/7/21,23:59,Sede KDT,TOKADISKO FC,SON SIME FC,5
2018/7/28,23:59,Sede KDT,DRINK TEAM,LOS MURCIELAGOS,6
2018/7/28,23:59,Sede KDT,ALUMNI,BARCELOSA UNITED,6
2018/7/28,23:59,Sede KDT,TOKADISKO FC,SIN VUELTAS,6
2018/7/28,23:59,Sede KDT,SON SIME FC,15 DE JUNIO,6
2018/8/4,23:59,Sede KDT,DRINK TEAM,ALUMNI,7
2018/8/4,23:59,Sede KDT,TOKADISKO FC,LOS MURCIELAGOS,7
2018/8/4,23:59,Sede KDT,SON SIME FC,BARCELOSA UNITED,7
2018/8/4,23:59,Sede KDT,15 DE JUNIO,SIN VUELTAS,7
