Date,Hour,Court,Home,Away,Matchday
2018/7/7,23:59,Sede KDT,EL VIRA FC,INTERNACIONALES FC,3
2018/7/7,23:59,Sede KDT,GUAMPACHATA,REAL COHOLICOS,3
2018/7/7,23:59,Sede KDT,LUXOS,,3
2018/7/7,23:59,Sede KDT,ADP,HACHITAS FC,3
2018/7/14,23:59,Sede KDT,EL VIRA FC,GUAMPACHATA,4
2018/7/14,23:59,Sede KDT,LUXOS,INTERNACIONALES FC,4
2018/7/14,23:59,Sede KDT,ADP,REAL COHOLICOS,4
2018/7/14,23:59,Sede KDT,HACHITAS FC,,4
2018/7/21,23:59,Sede KDT,EL VIRA FC,LUXOS,5
2018/7/21,23:59,Sede KDT,ADP,GUAMPACHATA,5
2018/7/21,23:59,Sede KDT,HACHITAS FC,INTERNACIONALES FC,5
2018/7/21,23:59,Sede KDT,REAL COHOLICOS,,5
2018/7/28,23:59,Sede KDT,EL VIRA FC,ADP,6
2018/7/28,23:59,Sede KDT,HACHITAS FC,LUXOS,6
2018/7/28,23:59,Sede KDT,GUAMPACHATA,,6
2018/7/28,23:59,Sede KDT,REAL COHOLICOS,INTERNACIONALES FC,6
2018/8/4,23:59,Sede KDT,EL VIRA FC,HACHITAS FC,7
2018/8/4,23:59,Sede KDT,ADP,,7
2018/8/4,23:59,Sede KDT,REAL COHOLICOS,LUXOS,7
2018/8/4,23:59,Sede KDT,INTERNACIONALES FC,GUAMPACHATA,7
